Primary ID,Address,Common Nam,Latin Name,DBH,Longitude,Latitude
"199438",3545 Beatties Ford Road,Callery pear,Pyrus calleryana,"18",-80.857288241386428,35.282350790932654
"199437",3545 Beatties Ford Road,Callery pear,Pyrus calleryana,"19",-80.857333838939667,35.282443287517239
"199436",,Callery pear,Pyrus calleryana,"20",-80.857365243123255,35.282531244901698
"199435",,Callery pear,Pyrus calleryana,"14",-80.857616364901347,35.283145445000272
"199430",3715 Beatties Ford Road,Callery pear,Pyrus calleryana,"17",-80.858244597875469,35.284747248287871
"199429",3715 Beatties Ford Road,Callery pear,Pyrus calleryana,"14",-80.858334004849453,35.284989966105343
"199428",3700 Beatties Ford Road,Callery pear,Pyrus calleryana,"16",-80.858417525869314,35.285228508624080
"199427",3700 Beatties Ford Road,Callery pear,Pyrus calleryana,"17",-80.858455523823523,35.285352875973800
"199426",3738 Beatties Ford Road,Callery pear,Pyrus calleryana,"16",-80.858483985050512,35.285466424164021
"199364",2528 Dalebrook Drive,Callery pear,Pyrus calleryana,"25",-80.850990340116496,35.270307479991281
"199363",2528 Dalebrook Drive,Callery pear,Pyrus calleryana,"30",-80.851144865167171,35.270527573166731
"199361",2528 Dalebrook Drive,Callery pear,Pyrus calleryana,"26",-80.851058140402202,35.270618554537464
"199275",4112 Joe Street,Callery pear,Pyrus calleryana,"21",-80.814085453683916,35.272359163829364
"199274",4112 Joe Street,Callery pear,Pyrus calleryana,"29",-80.814211219495760,35.272177607109192
"199234",7213 Azalea Lane,Callery pear,Pyrus calleryana,"13",-80.820391550632863,35.269061064136288
"198673",1006 McArthur Avenue,Callery pear,Pyrus calleryana,"25",-80.833244323753220,35.261380985873082
"198655",845 McArthur Avenue,Callery pear,Pyrus calleryana,"1",-80.830880031024918,35.261419775923699
"198622",3000 Wells Street,Callery pear,Pyrus calleryana,"14",-80.829028487185056,35.260602143163901
"198621",708 Justice Avenue,Callery pear,Pyrus calleryana,"16",-80.829032510498578,35.260671123641828
"198603",721 McArthur Avenue,Callery pear,Pyrus calleryana,"9",-80.827704817056656,35.261361982295696
"198602",709 McArthur Avenue,Callery pear,Pyrus calleryana,"6",-80.827400814737018,35.261374985228755
"198601",709 McArthur Avenue,Callery pear,Pyrus calleryana,"7",-80.827383995036826,35.261370863334996
"198600",709 McArthur Avenue,Callery pear,Pyrus calleryana,"4",-80.827349126319646,35.261370376113177
"198584",801 Wainwright Avenue,Callery pear,Pyrus calleryana,"12",-80.829133689401274,35.262402133235803
"198288",413 Enterprise Drive,Callery pear,Pyrus calleryana,"19",-80.817456170918845,35.253534201760928
"198287",400 Enterprise Drive,Callery pear,Pyrus calleryana,"16",-80.817306935798570,35.253511685700602
"198286",422 Enterprise Drive,Callery pear,Pyrus calleryana,"23",-80.816984400164529,35.253606844970179
"198285",422 Enterprise Drive,Callery pear,Pyrus calleryana,"24",-80.816861316561713,35.253667315862025
"198284",401 West 32nd Street,Callery pear,Pyrus calleryana,"3",-80.816060006618514,35.254113234206045
"198282",422 Enterprise Drive,Callery pear,Pyrus calleryana,"26",-80.816713869481873,35.253747018900974
"198264",419 Enterprise Drive,Callery pear,Pyrus calleryana,"17",-80.817604679417997,35.253624640905002
"198263",419 Enterprise Drive,Callery pear,Pyrus calleryana,"5",-80.817879942513002,35.253733086006001
"198262",419 Enterprise Drive,Callery pear,Pyrus calleryana,"17",-80.817702320674002,35.253765392961000
"198261",419 Enterprise Drive,Callery pear,Pyrus calleryana,"16",-80.817735103247003,35.253895533254997
"198260",511 Enterprise Drive,Callery pear,Pyrus calleryana,"16",-80.817693379990999,35.254026160085999
"198259",511 Enterprise Drive,Callery pear,Pyrus calleryana,"15",-80.817643908140994,35.254153866364000
"198257",517 Enterprise Drive,Callery pear,Pyrus calleryana,"17",-80.817584899541998,35.254272020310999
"198256",517 Enterprise Drive,Callery pear,Pyrus calleryana,"14",-80.817510989778000,35.254410434249998
"198255",517 Enterprise Drive,Callery pear,Pyrus calleryana,"16",-80.817470458610998,35.254516237112000
"198254",542 West 32nd Street,Callery pear,Pyrus calleryana,"19",-80.817054495841006,35.255858685017003
"198253",542 West 32nd Street,Callery pear,Pyrus calleryana,"18",-80.816994295154004,35.255865681663003
"198252",542 West 32nd Street,Callery pear,Pyrus calleryana,"8",-80.816916809125004,35.255847368772997
"198251",542 West 32nd Street,Callery pear,Pyrus calleryana,"19",-80.816875279352999,35.255834913443003
"198250",542 West 32nd Street,Callery pear,Pyrus calleryana,"15",-80.816756070067996,35.255699300605997
"198249",542 West 32nd Street,Callery pear,Pyrus calleryana,"12",-80.816755474044996,35.255626474783000
"198248",542 West 32nd Street,Callery pear,Pyrus calleryana,"12",-80.816763818704004,35.255569224033998
"198247",542 West 32nd Street,Callery pear,Pyrus calleryana,"14",-80.816760242439003,35.255513920131001
"198167",435 Dare Drive,Callery pear,Pyrus calleryana,"3",-80.803781896828198,35.261210285492005
"198146",1434 West Craighead Road,Callery pear,Pyrus calleryana,"8",-80.812891125663114,35.269814027848625
"198139",1400 Ameron Drive,Callery pear,Pyrus calleryana,"17",-80.812787711620345,35.266579034508922
"198057",500 Johnson Road,Callery pear,Pyrus calleryana,"18",-80.809356183052003,35.261079479067000
"198056",500 Johnson Road,Callery pear,Pyrus calleryana,"15",-80.809409231207994,35.261086475261997
"198055",500 Johnson Road,Callery pear,Pyrus calleryana,"17",-80.809473008200996,35.261108558826997
"198048",708 Kennedy Street,Callery pear,Pyrus calleryana,"17",-80.817638486623778,35.261305058324012
"198046",3208 North Graham Street,Callery pear,Pyrus calleryana,"15",-80.818674266331541,35.261496611118680
"198043",3208 North Graham Street,Callery pear,Pyrus calleryana,"11",-80.818806365125511,35.261531100984286
"197719",925 Bannister Place,Callery pear,Pyrus calleryana,"8",-80.789625288519005,35.272703368472001
"197684",925 Bannister Place,Callery pear,Pyrus calleryana,"7",-80.789695414196999,35.272880701441998
"197354",832 Dobson Drive,Callery pear,Pyrus calleryana,"18",-80.777059248769007,35.269424471569998
"197353",832 Dobson Drive,Callery pear,Pyrus calleryana,"15",-80.777055672504005,35.269388642711000
"197352",832 Dobson Drive,Callery pear,Pyrus calleryana,"17",-80.777061036922007,35.269359626803997
"197338",800 Corwin Drive,Callery pear,Pyrus calleryana,"13",-80.778091270757997,35.268245798488003
"197337",800 Corwin Drive,Callery pear,Pyrus calleryana,"15",-80.778096039152004,35.268317518017000
"197297",1004 Amble Drive,Callery pear,Pyrus calleryana,"4",-80.806008543671993,35.268787299281001
"197285",4150 Pebble Street,Callery pear,Pyrus calleryana,"19",-80.810988343150001,35.271742424575002
"197284",4150 Pebble Street,Callery pear,Pyrus calleryana,"16",-80.811045563595997,35.271660853896996
"197283",4150 Pebble Street,Callery pear,Pyrus calleryana,"13",-80.811091459181014,35.271599052329996
"197282",4150 Pebble Street,Callery pear,Pyrus calleryana,"13",-80.811142719184986,35.271535486723003
"197281",4101 Pebble Street,Callery pear,Pyrus calleryana,"11",-80.811301863572993,35.271333232130999
"197280",4101 Pebble Street,Callery pear,Pyrus calleryana,"12",-80.811341798675997,35.271281345387997
"197279",4101 Pebble Street,Callery pear,Pyrus calleryana,"15",-80.811386502172994,35.271222645801998
"197239",1232 Rosada Drive,Callery pear,Pyrus calleryana,"18",-80.781392529603977,35.275462779117824
"197161",4135 Wilson Lane,Callery pear,Pyrus calleryana,"7",-80.795312813219994,35.275396978650001
"196773",3837 Sofley Road,Callery pear,Pyrus calleryana,"11",-80.801626955518998,35.264041143951999
"196750",4213 Hondures Drive,Callery pear,Pyrus calleryana,"3",-80.797293575507993,35.263653072846999
"196728",6434 Elgywood Lane,Callery pear,Pyrus calleryana,"17",-80.772305428990890,35.273988295900097
"196727",6434 Elgywood Lane,Callery pear,Pyrus calleryana,"18",-80.772329270839705,35.274036270084686
"196598",6803 Aerial Court,Callery pear,Pyrus calleryana,"18",-80.771382749130694,35.281007158502469
"196597",6807 Aerial Court,Callery pear,Pyrus calleryana,"17",-80.771131813571643,35.281006670338364
"196596",6821 Aerial Court,Callery pear,Pyrus calleryana,"12",-80.770897641818905,35.281114421898899
"196595",6821 Aerial Court,Callery pear,Pyrus calleryana,"13",-80.770930498879366,35.281054770950156
"196594",6820 Aerial Court,Callery pear,Pyrus calleryana,"15",-80.770763233315407,35.280919373385302
"196593",680 Aerial Court,Callery pear,Pyrus calleryana,"12",-80.771097168337761,35.280891458408846
"196592",680 Aerial Court,Callery pear,Pyrus calleryana,"15",-80.771276280318034,35.280886598078332
"196588",515 Kingville Drive,Callery pear,Pyrus calleryana,"15",-80.771582932162005,35.280829571985002
"196584",515 Kingville Drive,Callery pear,Pyrus calleryana,"17",-80.771570415173002,35.280708598148003
"196583",521 Kingville Drive,Callery pear,Pyrus calleryana,"18",-80.771581530589174,35.280996365413202
"196581",531 Kingville Drive,Callery pear,Pyrus calleryana,"19",-80.771582201141442,35.281158353325139
"196580",537 Kingville Drive,Callery pear,Pyrus calleryana,"16",-80.771582499173761,35.281291226928438
"196578",537 Kingville Drive,Callery pear,Pyrus calleryana,"16",-80.771590918341204,35.281449028513975
"196577",6816 Ebara Lane,Callery pear,Pyrus calleryana,"17",-80.771131664555483,35.281510874302612
"196576",6804 Ebara Lane,Callery pear,Pyrus calleryana,"17",-80.771327465813570,35.281502118245648
"196575",615 Kingville Drive,Callery pear,Pyrus calleryana,"17",-80.771628171224876,35.281959253878320
"196574",601 Kingville Drive,Callery pear,Pyrus calleryana,"18",-80.771603956845865,35.281588781003130
"196568",607 Kingville Drive,Callery pear,Pyrus calleryana,"19",-80.771615616992023,35.281745819128368
"196566",6801 Malagant Lane,Callery pear,Pyrus calleryana,"17",-80.771300806753004,35.280382174880998
"196561",6812 Malagant Lane,Callery pear,Pyrus calleryana,"19",-80.770903984585004,35.280305552597000
"196559",6806 Malagant Lane,Callery pear,Pyrus calleryana,"17",-80.771102468053002,35.280300869327000
